Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
08/20/2018,02:16 pm,JHS-A-51398,Ganesha,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,33207,33207,981020025263215,10/08/2018,04:30 pm,Adoption,On Site Adoption,33207
08/20/2018,02:13 pm,JHS-A-51397,Sybil,Cat,Domestic Shorthair,Mix,,,Female,To be determined,No,Stray,Drop Off,33207,33207,,08/24/2018,11:21 am,Died,Medical Issues,33207
08/20/2018,01:56 pm,JHS-A-51396,Parma,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,33207,33207,981020023773325,10/08/2018,04:30 pm,Adoption,On Site Adoption,33207
08/20/2018,01:13 pm,JHS-A-51387,Havarti,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Transfer In,Transfer,-,,981020023352940,09/03/2018,12:35 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51388,Blue,Dog,Mixed Breed (Large),Mix,108,,Male,No,Yes,Transfer In,Transfer,-,,0A1376603E,09/03/2018,01:51 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51384,Benny,Dog,Mixed Breed (Large),Mix,24,Large (60-99),Male,No,Yes,Transfer In,Transfer,-,,981020025901079,08/23/2018,07:04 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51394,Kidd,Dog,Mixed Breed (Large),Mix,36,,Male,No,Yes,Transfer In,Transfer,-,,981020027457640,11/05/2018,02:16 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51389,Leon,Dog,Mixed Breed (Large),Mix,24,,Male,No,Yes,Transfer In,Transfer,-,,981020025069376,09/04/2018,01:08 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51392,Smoochie,Dog,Mixed Breed (Large),Mix,60,,Female,No,Yes,Transfer In,Transfer,-,,981020023853231,10/08/2018,06:05 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51390,Dwight,Dog,Mixed Breed (Large),Mix,84,,Male,No,Yes,Transfer In,Transfer,-,,981020025059238,09/07/2018,03:08 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51393,Louanne,Dog,Mixed Breed (Large),Mix,48,,Female,No,Yes,Transfer In,Transfer,-,,981020023831530,10/18/2018,10:50 am,Transfer Out,DIsaster Relief,32216
08/20/2018,01:13 pm,JHS-A-51386,Charlotte,Dog,Mixed Breed (Large),Mix,96,,Female,No,Yes,Transfer In,Transfer,-,,981020011829294,09/01/2018,04:04 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51382,Sammie Girl,Dog,Mixed Breed (Large),Mix,48,,Female,No,Yes,Transfer In,Transfer,-,,981020017269087,08/23/2018,05:01 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51383,Godiva,Dog,Mixed Breed (Medium),Mix,36,,Female,No,Yes,Transfer In,Transfer,-,,981020027433957,08/23/2018,06:33 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51385,Mortimer,Dog,Mixed Breed (Large),Mix,36,,Male,No,Yes,Transfer In,Transfer,-,,981020021204990,08/27/2018,06:53 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51381,Marlon,Dog,Mixed Breed (Large),Mix,36,,Male,No,Yes,Transfer In,Transfer,-,,981020025076206,08/20/2018,08:19 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51391,Erica,Dog,Mixed Breed (Large),Mix,36,Medium (20-59),Female,No,Yes,Transfer In,Transfer,-,,981020023824613,10/04/2018,01:28 pm,Adoption,On Site Adoption,
08/20/2018,01:13 pm,JHS-A-51395,Gerald,Dog,Mixed Breed (Large),Mix,36,,Male,No,Yes,Transfer In,Transfer,-,,981020025906943,12/08/2018,04:25 pm,Adoption,On Site Adoption,
08/20/2018,01:04 pm,JHS-A-51380,JoJo,Dog,Mixed Breed (Small),Mix,119,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32218,,981020025925668,08/31/2018,03:23 pm,Adoption,On Site Adoption,32218
11/09/2018,07:25 pm,JHS-A-51394,Kidd,Dog,Mixed Breed (Large),Mix,38,,Male,No,Yes,Return,Return,32257,,981020027457640,11/17/2018,04:33 pm,Adoption,On Site Adoption,32257
11/09/2018,06:20 pm,JHS-A-52033,Addy,Cat,Domestic Shorthair,Mix,3,,Female,No,Yes,Return,Return,32216,,981020025310701,11/25/2018,03:42 pm,Adoption,On Site Adoption,32216
11/09/2018,05:34 pm,JHS-A-53342,Jean-Claude,Cat,Domestic Shorthair,Mix,71,,Male,No,Yes,Stray,Drop Off,32205,32205,981020027581317,12/28/2018,02:32 pm,Adoption,On Site Adoption,32205
11/09/2018,05:25 pm,JHS-A-53341,Chloe,Cat,Domestic Shorthair,Mix,75,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32216,,982000199041147,11/15/2018,02:51 pm,Adoption,On Site Adoption,32216
11/09/2018,04:59 pm,JHS-A-52371,Bentley,Cat,Domestic Shorthair,Mix,61,,Male,No,Yes,Return,Return,32082,,985112002634603,11/12/2018,06:58 pm,Adoption,On Site Adoption,32082
11/09/2018,04:55 pm,JHS-A-53340,Catnip Everdeen,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32257,32257,981020027487081,12/11/2018,05:51 pm,Adoption,On Site Adoption,32257
11/09/2018,04:49 pm,JHS-A-53339,Cathy,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32246,32246,981020027532182,01/08/2019,05:35 pm,Adoption,On Site Adoption,32246
11/09/2018,04:19 pm,JHS-A-53338,Cosette,Cat,Domestic Shorthair,Mix,24,,Female,No,Yes,Stray,Drop Off,32207,32207,981020027659037,12/19/2018,05:40 pm,Adoption,On Site Adoption,32207
11/09/2018,03:53 pm,JHS-A-53336,Jacques,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32246,32246,981020027474849,12/17/2018,06:08 pm,Adoption,On Site Adoption,32246
11/09/2018,03:53 pm,JHS-A-53337,Harlan,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32246,32246,981020027628340,12/18/2018,07:07 pm,Adoption,PetSmart Southside #300,32246
11/09/2018,02:28 pm,JHS-A-53335,Hani,Dog,Mixed Breed (Large),Mix,60,,Male,No,Yes,Owner/Guardian Surrender,By Appointment,32204,,0A13712D48,11/25/2018,01:47 pm,Adoption,On Site Adoption,32204
11/09/2018,02:16 pm,JHS-A-53334,Clover,Dog,Mixed Breed (Medium),Mix,7,,Male,No,Yes,Stray,Abandoned,,32216,981020027585778,11/17/2018,04:15 pm,Adoption,On Site Adoption,32216
11/09/2018,02:12 pm,JHS-A-53333,Luna,Cat,Domestic Shorthair,Mix,12,,Female,No,Yes,Stray,Drop Off,32207,32207,981020027516298,12/02/2018,04:18 pm,Adoption,PetSmart Southside #300,32207
11/09/2018,12:44 pm,JHS-A-53332,Dazi,Dog,Mixed Breed (Large),Mix,48,,Female,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32210,,046586086,11/24/2018,02:17 pm,Adoption,On Site Adoption,32210
08/14/2018,09:04 pm,JHS-A-51286,Pat,Cat,Domestic Shorthair,Mix,4,,Unknown,To be determined,No,Stray,Drop Off,32225,32225,,08/15/2018,12:28 pm,Euthanasia,Medical Issues,32225
08/14/2018,08:53 pm,JHS-A-51285,Abby,Dog,Mixed Breed (Large),Mix,3,,Female,No,Yes,Stray,Drop Off,32207,32207,981020027452778,08/20/2018,04:55 pm,Adoption,On Site Adoption,32207
08/14/2018,08:22 pm,JHS-A-51284,Bucky,Dog,Mixed Breed (Large),Mix,83,Large (60-99),Male,No,Yes,Stray,Abandoned,32256,,003339009,08/31/2018,06:22 pm,Adoption,On Site Adoption,
08/14/2018,08:13 pm,JHS-A-51283,Ria,Cat,Domestic Shorthair,Mix,24,,Female,No,Yes,Stray,Drop Off,32246,32246,981020025922331,09/22/2018,03:46 pm,Adoption,On Site Adoption,32246
08/14/2018,07:50 pm,JHS-A-51282,Olliver,Cat,Domestic Shorthair,Mix,24,,Male,No,Yes,Owner/Guardian Surrender,By Appointment,32277,,981020023147572,08/19/2018,04:45 pm,Adoption,On Site Adoption,32277
08/14/2018,07:50 pm,JHS-A-45763,Lady,Cat,Domestic Shorthair,Mix,12,,Female,No,Yes,Owner/Guardian Surrender,By Appointment,32277,,981020021731335,09/14/2018,10:35 pm,Adoption,On Site Adoption,32277
08/14/2018,06:18 pm,JHS-A-51281,Russel,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020027425971,09/10/2018,08:47 pm,Adoption,On Site Adoption,32246
08/14/2018,05:40 pm,JHS-A-51277,Merlot,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32225,32225,981020025929701,09/04/2018,10:10 pm,Adoption,On Site Adoption,32225
08/14/2018,05:40 pm,JHS-A-51280,Pinot,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32225,32225,981020027432840,10/03/2018,10:17 pm,Adoption,On Site Adoption,32225
08/14/2018,05:40 pm,JHS-A-51278,Zinfandel,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32225,32225,981020025896788,09/05/2018,06:55 pm,Adoption,On Site Adoption,32225
08/14/2018,05:40 pm,JHS-A-51279,Cabernet,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32225,32225,981020027433795,09/05/2018,08:51 pm,Adoption,On Site Adoption,32225
08/14/2018,05:16 pm,JHS-A-51276,Madeline,Cat,Domestic Shorthair,Mix,1,,Female,To be determined,No,Stray,Drop Off,32034,32034,981020025884983,08/30/2018,06:53 pm,Died,Medical Issues,32034
08/14/2018,04:49 pm,JHS-A-51275,Rosita,Cat,Domestic Shorthair,Mix,1,,Female,No,Yes,Stray,Drop Off,32277,32277,981020025903904,10/29/2018,09:16 pm,Adoption,On Site Adoption,32277
08/14/2018,04:40 pm,JHS-A-49804,Heaven,Cat,Domestic Shorthair,Mix,3,,Female,No,Yes,Return,Return,32224,,981020025866102,08/15/2018,07:16 pm,Adoption,On Site Adoption,32224
08/14/2018,03:44 pm,JHS-A-51274,Simon,Dog,Mixed Breed (Small),Mix,3,,Male,No,Yes,Stray,Drop Off,32254,32254,981020027456784,08/18/2018,08:29 pm,Adoption,On Site Adoption,32254
08/14/2018,03:22 pm,JHS-A-51273,Hartley,Cat,Domestic Shorthair,Mix,1,,Male,No,Yes,Stray,Drop Off,32257,32257,981020027439696,09/14/2018,05:44 pm,Adoption,PetSmart Southside #300,32257
08/14/2018,03:03 pm,JHS-A-51272,Ounce,Cat,Domestic Shorthair,Mix,,,Male,To be determined,No,Stray,Drop Off,32246,32246,,08/17/2018,02:04 pm,Died,Medical Issues,32246
08/14/2018,02:48 pm,JHS-A-51271,Luke,Dog,Mixed Breed (Large),Mix,72,,Male,No,Yes,Owner/Guardian Surrender,Walk-In Surrender,32225,,075583636,08/18/2018,01:39 pm,Adoption,PetSmart Southside #300,32225
08/14/2018,02:48 pm,JHS-A-48684,Prosecco,Cat,Domestic Shorthair,Mix,3,,Male,No,Yes,Return,Return,32256,,981020023835907,08/14/2018,07:30 pm,Adoption,PetSmart Southside #300,32256
08/14/2018,02:27 pm,JHS-A-51270,Pammy,Cat,Domestic Medium Hair,Mix,1,,Female,No,Yes,Owner/Guardian Surrender,By Appointment,32256,,981020027434732,09/26/2018,10:23 pm,Adoption,On Site Adoption,32256
08/14/2018,02:27 pm,JHS-A-51269,Hammy,Cat,Domestic Medium Hair,Mix,1,,Male,No,Yes,Owner/Guardian Surrender,By Appointment,32256,,981020025367187,09/26/2018,08:26 pm,Adoption,On Site Adoption,32256
08/14/2018,02:17 pm,JHS-A-51268,Filmore,Dog,Mixed Breed (Large),Mix,60,,Male,No,Yes,Stray,Drop Off,32073,32073,981020027434417,08/29/2018,03:33 pm,Adoption,On Site Adoption,32073
08/14/2018,02:15 pm,JHS-A-51267,Valley,Cat,Domestic Shorthair,Mix,2,,Female,To be determined,No,Stray,Drop Off,32073,32073,981020027431682,08/15/2018,12:47 pm,Died,Medical Issues,32073
08/14/2018,02:14 pm,JHS-A-51266,Pint,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32210,32210,981020023771583,11/20/2018,07:48 pm,Adoption,On Site Adoption,32210
08/14/2018,01:57 pm,JHS-A-51265,Gonzo,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,,32216,981020027454470,11/02/2018,05:08 pm,Adoption,On Site Adoption,32216
08/14/2018,01:57 pm,JHS-A-51264,Fozzie,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,,32216,981020027442624,11/02/2018,05:08 pm,Adoption,On Site Adoption,32216
08/14/2018,01:57 pm,JHS-A-51263,Kermit,Cat,Domestic Shorthair,Mix,,,Male,To be determined,No,Stray,Drop Off,,32216,981020027432887,10/26/2018,03:03 pm,Died,Medical Issues,32216
08/14/2018,01:00 pm,JHS-A-51260,Waco,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32217,32217,981020027443992,10/12/2018,08:17 pm,Adoption,PetSmart Town Center #297,32217
08/14/2018,01:00 pm,JHS-A-51258,San Antonio,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32217,32217,981020027443101,09/21/2018,04:58 pm,Adoption,On Site Adoption,32217
08/14/2018,01:00 pm,JHS-A-51261,Houston,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32217,32217,981020025929948,10/20/2018,06:39 pm,Adoption,PetSmart Town Center #297,32217
08/14/2018,01:00 pm,JHS-A-51259,Austin,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32217,32217,981020025915121,09/21/2018,05:01 pm,Adoption,On Site Adoption,32217
08/14/2018,01:00 pm,JHS-A-51262,Dallas,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32217,32217,981020025783248,10/23/2018,08:35 pm,Adoption,On Site Adoption,32217
10/14/2018,07:20 pm,JHS-A-52737,Parker,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32246,32246,981020027526794,11/24/2018,12:38 pm,Adoption,On Site Adoption,32246
10/14/2018,07:20 pm,JHS-A-52736,Polly,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32246,32246,981020027406486,11/24/2018,12:38 pm,Adoption,On Site Adoption,32246
10/14/2018,07:20 pm,JHS-A-52735,Patty,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32246,32246,981020027392986,11/24/2018,12:38 pm,Adoption,On Site Adoption,32246
10/14/2018,07:00 pm,JHS-A-49484,Brandon,Cat,Domestic Shorthair,Mix,5,,Male,No,Yes,Stray,Abandoned,,,981020023828690,10/14/2018,04:14 pm,Adoption,On Site Adoption,
10/14/2018,06:16 pm,JHS-A-52734,Bingo,Dog,Mixed Breed (Medium),Mix,4,,Male,No,Yes,Stray,Drop Off,32277,32277,981020029283695,10/19/2018,02:25 pm,Adoption,On Site Adoption,32277
10/14/2018,06:10 pm,JHS-A-52731,Margarita,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32277,32244,981020027477064,12/02/2018,12:56 pm,Adoption,On Site Adoption,32244
10/14/2018,06:10 pm,JHS-A-52733,Veggie,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32277,32244,981020029141930,12/03/2018,04:09 pm,Adoption,On Site Adoption,32244
10/14/2018,06:10 pm,JHS-A-52729,Mushroom,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32277,32244,981020027477469,12/01/2018,02:57 pm,Adoption,On Site Adoption,32244
10/14/2018,06:10 pm,JHS-A-52730,Sausage,Cat,Domestic Shorthair,Mix,,,Female,No,Yes,Stray,Drop Off,32277,32244,981020027573099,12/01/2018,05:19 pm,Adoption,On Site Adoption,32244
10/14/2018,06:10 pm,JHS-A-52732,Pepperoni,Cat,Domestic Shorthair,Mix,,,Male,No,Yes,Stray,Drop Off,32277,32244,981020027473205,12/03/2018,02:40 pm,Adoption,On Site Adoption,32244
10/14/2018,06:10 pm,JHS-A-52728,Kash,Cat,Domestic Shorthair,Mix,2,,Female,To be determined,No,Stray,Drop Off,32210,32210,,10/16/2018,10:29 am,Died,Medical Issues,32210
