Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
07/14/2021,03:31 pm,JHS-A-78584,Zack,Cat,Domestic Shorthair,,3,,Male,No,Yes,Stray,Former KK,32216,32216,981020041454737,07/15/2021,12:13 pm,Adoption,On Site Adoption,32216
07/14/2021,03:05 pm,JHS-A-78583,Hendrick,Dog,Mixed Breed (Medium),,12,Medium (20-59),Male,Yes,No,Stray,No ID,32222,32207,981020041312701,07/20/2021,03:38 pm,Return to Owner/Guardian,By Facebook Group,32207
07/14/2021,02:54 pm,JHS-A-78582,Odie,Dog,Mixed Breed (Small),,14,Small (1-19),Male,No,Yes,Stray,No ID,32207,32207,981020041536045,07/19/2021,05:01 pm,Adoption,On Site Adoption,32207
07/14/2021,02:51 pm,JHS-A-78581,Juno,Dog,Mixed Breed (Medium),,24,Medium (20-59),Female,Yes,No,Stray,No ID,32065,32065,981020039934516,07/20/2021,12:30 pm,Adoption,On Site Adoption,32065
07/14/2021,02:07 pm,JHS-A-78580,Pixel,Cat,Domestic Shorthair,,4,,Female,No,No,Stray,No ID,32225,32225,,07/19/2021,11:16 am,feral/wildlife,Returned to Field,32225
07/14/2021,01:43 pm,JHS-A-32384,PJ,Cat,Domestic Shorthair,Mix,74,,Male,No,Yes,Owner/Guardian Surrender,Housing Issues- By Appt,32256,,981020013154874,09/03/2021,03:45 pm,Adoption,On Site Adoption,32256
07/14/2021,01:30 pm,JHS-A-78579,Harry Etta,Cat,Domestic Shorthair,,59,,Male,Yes,No,Stray,No ID,32210,32210,,07/17/2021,02:54 pm,feral/wildlife,Returned to Field,32210
07/14/2021,01:18 pm,JHS-A-78578,Valentina,Cat,Domestic Shorthair,,2,,Female,Yes,No,Stray,No ID,32258,32277,981020041244902,07/16/2021,02:23 pm,Adoption,On Site Adoption,32277
07/14/2021,01:18 pm,JHS-A-78577,Valentine,Cat,Domestic Shorthair,,2,,Male,Yes,No,Stray,No ID,32258,32277,981020041273605,07/16/2021,02:22 pm,Adoption,On Site Adoption,32277
07/14/2021,01:14 pm,JHS-A-78576,Momma Cat,Cat,Domestic Shorthair,,55,,Female,Yes,No,Owner/Guardian Surrender,No Time For- By Appt,32226,,981020041288938,08/05/2021,10:58 am,Adoption,On Site Adoption,32226
07/14/2021,12:53 pm,JHS-A-78573,Beaufort,Cat,Domestic Shorthair,,2,,Male,No,Yes,Stray,No ID,32246,32246,981020041255230,09/06/2021,01:42 pm,Adoption,On Site Adoption,32246
07/14/2021,12:47 pm,JHS-A-78572,Sisu,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32216,32210,981020041090282,09/09/2021,04:06 pm,Adoption,On Site Adoption,32210
07/14/2021,12:47 pm,JHS-A-78571,Bitty,Cat,Domestic Shorthair,,14,,Female,No,No,Stray,No ID,32216,32210,,07/20/2021,11:57 am,Died,Died in Foster (Use specific Subtype if known),32210
07/14/2021,11:04 am,JHS-A-78570,Chino,Dog,Mixed Breed (Large),,43,Medium (20-59),Male,No,Yes,Owner/Guardian Surrender,Owner Health Issues- By Appt,,,982126059409395,07/19/2021,04:17 pm,Adoption,On Site Adoption,
07/14/2021,10:57 am,JHS-A-78569,Trip,Cat,Domestic Shorthair,,8,,Female,No,Yes,Stray,No ID,32091,32091,981020041123092,07/29/2021,03:55 pm,Adoption,On Site Adoption,32091
07/14/2021,10:44 am,JHS-A-77738,Kay-El,Cat,Domestic Shorthair,,3,,Male,Yes,No,Return,No Time For,32216,,981020037115934,07/16/2021,11:28 am,Adoption,On Site Adoption,32216
07/14/2021,10:44 am,JHS-A-78568,Mallory,Cat,Domestic Shorthair,,21,,Female,No,Yes,Owner/Guardian Surrender,Pets Don't Get Along- By Appt,32233,,981020039645874,08/16/2021,11:11 am,Adoption,On Site Adoption,32233
07/14/2021,10:15 am,JHS-A-78567,Zippy,Cat,Domestic Shorthair,,2,,Male,Yes,No,Stray,No ID,32206,32206,981020041237225,07/30/2021,04:33 pm,Euthanasia,Injury/Trauma,32206
07/14/2021,10:05 am,JHS-A-24670,Dax,Cat,Domestic Shorthair,Mix,93,,Male,No,Yes,Owner/Guardian Surrender,Family Issues- By Appt,32277,,982000357792170,07/23/2021,02:21 pm,Adoption,On Site Adoption,32277
07/14/2021,09:23 am,JHS-A-78566,Big Bobby Carter,Cat,Domestic Shorthair,,2,,Male,Yes,No,Stray,No ID,32216,32216,981020041280047,08/15/2021,11:10 am,feral/wildlife,Returned to Field,32216
07/14/2021,09:17 am,JHS-A-78565,Twix,Cat,Domestic Shorthair,,24,,Male,Yes,No,Owner/Guardian Surrender,Owner Health Issues- Walk In,32225,,981020041136673,08/23/2021,04:25 pm,Adoption,On Site Adoption,32225
08/26/2021,06:56 pm,JHS-A-79608,Norbert,Dog,Mixed Breed (Small),,12,Small (1-19),Male,Yes,No,Stray,No ID,32225,32225,981020041266405,09/01/2021,02:21 pm,Adoption,On Site Adoption,32225
08/26/2021,04:55 pm,JHS-A-79607,Toffee Moon,Dog,Mixed Breed (Medium),,24,Medium (20-59),Female,Yes,No,Owner/Guardian Surrender,Housing Issues- Walk In,32208,,981020039935573,09/01/2021,03:22 pm,Adoption,On Site Adoption,32208
08/26/2021,04:03 pm,JHS-A-79606,Panda,Cat,Domestic Shorthair,,60,,Male,No,Yes,Owner/Guardian Surrender,PSN Boarding,32216,,985112008215237,10/15/2021,03:25 pm,Adoption,On Site Adoption,32216
08/26/2021,04:02 pm,JHS-A-79605,Turkey Leg,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32246,32246,981020041243503,09/23/2021,11:39 am,Adoption,On Site Adoption,32246
08/26/2021,04:01 pm,JHS-A-79604,Chichi,Cat,Domestic Shorthair,,72,,Male,No,Yes,Owner/Guardian Surrender,PSN Boarding,32216,,985112006894570,09/25/2021,07:22 am,Adoption,On Site Adoption,32216
08/26/2021,03:55 pm,JHS-A-79264,Little Rascal,Dog,Mixed Breed (Small),,36,Small (1-19),Male,No,Yes,Return,Behavior,32211,,981020039936900,08/27/2021,12:43 pm,Adoption,On Site Adoption,32211
08/26/2021,03:36 pm,JHS-A-79593,Dakota,Cat,Domestic Shorthair,,48,,Female,Yes,No,Transfer In,Transfer,-,,981020039864780,08/31/2021,04:06 pm,Adoption,On Site Adoption,
08/26/2021,03:34 pm,JHS-A-79587,LuLu,Cat,Domestic Shorthair,,57,,Female,No,Yes,Transfer In,Transfer,-,,982000408773790,09/06/2021,12:00 pm,Adoption,On Site Adoption,
08/26/2021,03:34 pm,JHS-A-79589,Shania Twain,Cat,Domestic Shorthair,,36,,Female,Yes,No,Transfer In,Transfer,-,,981020041292917,08/29/2021,11:48 am,Adoption,On Site Adoption,
08/26/2021,03:34 pm,JHS-A-79588,Castaspella,Cat,Domestic Shorthair,,24,,Female,Yes,No,Transfer In,Transfer,-,,981020041241630,09/01/2021,03:51 pm,Adoption,On Site Adoption,
08/26/2021,03:30 pm,JHS-A-79590,Peanut,Cat,Domestic Shorthair,,12,,Male,No,Yes,Transfer In,Transfer,-,,981020041279785,08/27/2021,03:55 pm,Adoption,On Site Adoption,
08/26/2021,03:30 pm,JHS-A-79594,Sierra,Cat,Domestic Shorthair,,24,,Female,Yes,No,Transfer In,Transfer,-,,9810200398992211,09/01/2021,04:04 pm,Adoption,On Site Adoption,
