Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
19,Palm Harbor Grill,81,unique_foregin,Portuguese,$$,Palm Coast,32137,FL,4.0,Yes,Yes,No
21,Beach Front Grille,139,american,American (Traditional),$$,Flagler Beach,32136,FL,4.0,No,No,No
22,Mezzaluna Pizzeria at the European Village,328,italian,Pizza,$$,Palm Coast,32137,FL,4.0,Yes,No,No
23,Red Crab - Juicy Seafood,23,seafood,Seafood,,Palm Coast,32137,FL,3.5,Yes,Yes,No
24,El Pollo Colorao,56,unique_foregin,Puerto Rican,$,Palm Coast,32164,FL,4.5,Yes,Yes,No
25,Fire In The Hole Neapolitan Pizza,38,italian,Italian,$$,Palm Coast,32137,FL,4.0,No,No,No
26,Thai by Thai,157,asian/sushi,Noodles,$$,Palm Coast,32137,FL,4.0,Yes,No,No
27,Atlantic Grille,114,seafood,Seafood,$$$,Palm Coast,32137,FL,3.0,Yes,Yes,No
28,Sylvain's Caribbean Restaurant,26,unique_foregin,Caribbean,,Palm Coast,32137,FL,4.5,Yes,Yes,No
29,Bronx House Pizza,19,italian,Italian,,Palm Coast,32137,FL,4.0,No,No,No
30,Hammock Wine & Cheese,30,bars/cocktail,Wine Bars,,Palm Coast,32137,FL,4.0,No,No,No
31,5th Element Indian Cuisine,170,unique_foregin,Indian,$$,Palm Coast,32137,FL,4.5,Yes,Yes,No
32,The Net By George,117,seafood,Seafood,$$,Flagler Beach,32136,FL,4.5,No,No,No
34,Dominic's Deli & Eatery,157,cafe/breakfast,Delis,$$,Palm Coast,32164,FL,4.5,Yes,No,No
35,Rodie's Place,83,cafe/breakfast,Breakfast & Brunch,$$,Palm Coast,32137,FL,4.5,Yes,No,Yes
36,Tram's Cafe,50,asian/sushi,Vietnamese,,Palm Coast,32137,FL,4.5,Yes,No,No
37,Funky Pelican,516,seafood,Seafood,$$,Flagler Beach,32136,FL,3.5,No,No,No
38,Burrito Works Taco Shop,97,mexican/tex-mex,Mexican,$,Palm Coast,32137,FL,4.0,Yes,No,No
39,SunBros Café,35,cafe/breakfast,Coffee & Tea,,Flagler Beach,32136,FL,4.5,No,No,No
40,Redefined Food,9,cafe/breakfast,Food Delivery Services,,Palm Coast,32164,FL,4.5,Yes,No,No
41,High Tides At Snack Jack,248,seafood,Seafood,$$,Flagler Beach,32136,FL,4.0,No,No,No
43,La Creperie Kafe,107,cafe/breakfast,Creperies,$$,Palm Coast,32137,FL,5.0,Yes,No,No
44,Houligan's Palm Coast,108,american,Chicken Wings,$$,Palm Coast,32137,FL,3.5,Yes,No,No
45,Romero’s Tuscany By The Sea Italian Restaurant,61,italian,Italian,$$,Flagler Beach,32136,FL,4.5,No,No,No
46,The Anchor,117,seafood,Seafood,$$,Flagler Beach,32136,FL,4.0,No,No,No
49,Cinco de mayo Authentic Mexican Restaurant,21,mexican/tex-mex,Mexican,,Palm Coast,32164,FL,3.5,No,No,No
50,Bronx House Pizza,32,italian,Italian,,Palm Coast,32164,FL,4.0,Yes,Yes,No
52,The Golden Lion Cafe,415,seafood,Seafood,$$,Flagler Beach,32136,FL,3.5,No,No,No
53,The Village Market Pub & Deli,9,cafe/breakfast,Delis,,Palm Coast,32137,FL,4.0,Yes,Yes,No
54,La Piazza Cafe,193,italian,Italian,$$,Palm Coast,32137,FL,4.0,Yes,No,No
55,The Island Grille,75,seafood,Seafood,$$,Flagler Beach,32136,FL,4.0,No,Yes,No
56,"Latino Market, Restaurant & Bakery",42,unique_foregin,Cuban,$,Palm Coast,32137,FL,4.0,Yes,No,No
57,Caribbean Treats,10,unique_foregin,Caribbean,,Palm Coast,32137,FL,4.5,Yes,No,No
58,Highjackers Restaurant,155,american,American (Traditional),$$,Palm Coast,32164,FL,3.5,Yes,No,No
59,Kawa Sushi,141,asian/sushi,Sushi Bars,$$,Palm Coast,32137,FL,4.0,Yes,Yes,No
61,Vida Resto Lounge,55,unique_foregin,Latin American,,Palm Coast,32137,FL,4.0,No,No,No
62,La Pizza Nostra,23,italian,Pizza,,Palm Coast,32137,FL,4.5,Yes,No,No
64,Burger Bros Pc,39,american,Burgers,,Palm Coast,32137,FL,4.0,Yes,Yes,No
65,Beach Belly Bob's Sandwich Shop,140,cafe/breakfast,Sandwiches,$,Flagler Beach,32136,FL,5.0,No,No,No
67,Delfinos Italian Restaurant,49,italian,Italian,$$,Palm Coast,32137,FL,3.0,No,No,No
69,Tokyo Japanese Steakhouse and Sushi Bar,26,asian/sushi,Japanese,,Palm Coast,32164,FL,3.0,No,No,No
70,Martin's Restaurant & Lounge,177,american,Fast Food,$$,Flagler Beach,32136,FL,3.5,No,No,No
72,Texas Roadhouse,88,cafe/breakfast,Steakhouses,,Palm Coast,32137,FL,3.0,No,No,No
73,China Express,46,asian/sushi,Chinese,$,Palm Coast,32137,FL,4.0,Yes,Yes,No
74,Lisbon at Night Restaurant & Lisbon Cafe,30,unique_foregin,Mediterranean,$$,Palm Coast,32137,FL,3.5,No,No,No
75,Delicias of Portugal Cafe & Bakery,46,dessert/bakery,Bakeries,$$,Palm Coast,32137,FL,4.5,Yes,No,No
78,Java Joint Beachside Grill,265,cafe/breakfast,Breakfast & Brunch,$,Flagler Beach,32136,FL,4.5,No,No,No
79,Ohana Food,17,bars/cocktail,Juice Bars & Smoothies,,Flagler Beach,32136,FL,5.0,No,No,No
80,Joe's New York Pizza & Pasta,196,italian,Pizza,$$,Palm Coast,32164,FL,4.0,Yes,No,No
81,Tortuga's Kitchen & Bar,259,bars/cocktail,Bars,$$,Flagler Beach,32136,FL,3.5,No,No,No
82,Sushi 99,86,asian/sushi,Sushi Bars,$$,Palm Coast,32137,FL,4.0,Yes,Yes,No
83,Manny's Pizzeria,53,italian,Pizza,$$,Palm Coast,32137,FL,4.5,Yes,No,No
85,Friends Cafe,79,american,Diners,$,Flagler Beach,32136,FL,4.5,No,No,No
86,Finns Beachside Pub,173,american,American (New),$$,Flagler Beach,32136,FL,3.5,No,No,No
89,Amigos Supermarket,3,unique_foregin,Dominican,,Palm Coast,32137,FL,4.0,Yes,Yes,No
90,Salsas of Palm Coast,175,mexican/tex-mex,Mexican,$$,Palm Coast,32137,FL,3.0,Yes,No,No
