Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
201,Subway,3,cafe/breakfast,Sandwiches,$,Fernandina Beach,32034,FL,2.5,No,No,No
202,Dairy Queen Grill & Chill,41,american,Fast Food,$,Fernandina Beach,32034,FL,2.5,No,No,No
204,Woody's Bar-B-Q,45,american,Barbeque,$$,Fernandina Beach,32034,FL,2.5,Yes,Yes,No
207,Jersey Mike's Subs,1,american,Fast Food,,Yulee,32097,FL,5,Yes,Yes,No
211,Marker 13 Bar & Grille,3,american,American (Traditional),,Fernandina Beach,32034,FL,2.5,No,No,No
213,Chick-fil-A,54,american,Fast Food,$,Yulee,32097,FL,4,No,No,No
214,Mama J's,1,american,Buffets,$$$,Yulee,32097,FL,1,No,No,No
216,Chipotle Mexican Grill,12,mexican/tex-mex,Mexican,,Yulee,32097,FL,2,Yes,Yes,No
220,Panda Express,33,asian/sushi,Chinese,,Yulee,32097,FL,3,Yes,Yes,No
222,Zaxby's,25,american,Salad,$,Yulee,32097,FL,3,Yes,Yes,No
223,Firehouse Subs,12,american,Fast Food,,Yulee,32097,FL,3,Yes,Yes,No
228,Tropical Smoothie Cafe,23,bars/cocktail,Juice Bars & Smoothies,$,Yulee,32097,FL,3.5,Yes,Yes,No
230,Panera Bread,64,american,Salad,$$,Yulee,32097,FL,2.5,Yes,Yes,No
232,Huddle House,28,cafe/breakfast,Breakfast & Brunch,$,Yulee,32097,FL,3,Yes,No,No
237,Circle K,1,convenience,Convenience Stores,,Yulee,32034,FL,5,No,No,No
238,McDonald's,57,american,Burgers,$,Yulee,32097,FL,1.5,Yes,No,No
239,Pizza Hut,11,italian,Pizza,$,Yulee,32097,FL,2,Yes,Yes,No
244,KFC,36,american,Fast Food,$,Yulee,32097,FL,1.5,Yes,Yes,No
245,Amelia Island Sushi,3,asian/sushi,Sushi Bars,,Fernandina Beach,32034,FL,2.5,No,No,No
246,Krystal,22,american,Fast Food,$,Yulee,32097,FL,2.5,Yes,No,No
247,Wendy's,13,american,Burgers,$,Yulee,32097,FL,2,Yes,No,No
248,McDonald's,26,american,Burgers,$,Yulee,32097,FL,2,Yes,No,No
269,Burger King,21,american,Burgers,$,Yulee,32097,FL,2,Yes,No,No
271,Domino's Pizza,11,italian,Pizza,$,Yulee,32097,FL,2,No,No,No
279,Circle K,2,convenience,Convenience Stores,,Fernandina Beach,32034,FL,2.5,No,No,No
286,Subway,5,cafe/breakfast,Sandwiches,$,Yulee,32097,FL,2,Yes,No,No
292,Subway,4,cafe/breakfast,Sandwiches,$,Yulee,32097,FL,2.5,Yes,Yes,No
