Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
170,Bamboo Express,29,asian/sushi,Chinese,$,Jacksonville,32217,FL,4.0,Yes,Yes,No
171,Seven Bridges Brewery,396,american,American (Traditional),$$,Jacksonville,32246,FL,3.5,Yes,Yes,No
172,Piccadilly Cafeteria,33,cafe/breakfast,Breakfast & Brunch,$,Jacksonville,32207,FL,3.0,Yes,No,No
173,Biscottis,696,american,American (Traditional),$$,Jacksonville,32205,FL,4.5,Yes,No,No
174,Damascus Kitchen,40,american,Falafel,$,Jacksonville,32217,FL,4.5,Yes,Yes,No
175,Hightide,10,cafe/breakfast,Sandwiches,$,Jacksonville,32207,FL,4.0,No,No,No
176,The Mitt Tex-Mex Cafe,81,cafe/breakfast,Cafes,$,Jacksonville,32216,FL,4.5,Yes,Yes,No
177,1928 Cuban Bistro,29,dessert/bakery,Bakeries,$$,Jacksonville,32244,FL,4.5,No,No,No
178,Fast Eddy's Quick Mideast,173,unique_foregin,Middle Eastern,$$,Jacksonville,32256,FL,5.0,Yes,Yes,No
179,Hibachi Express,48,asian/sushi,Sushi Bars,,Jacksonville,32216,FL,4.0,Yes,No,No
180,Jacksonville Sports Tavern,41,american,Burgers,$$,Jacksonville,32202,FL,3.5,Yes,No,No
181,The Blue Fish Restaurant And Oyster Bar,639,seafood,Seafood,$$,Jacksonville,32205,FL,4.0,Yes,No,No
182,The Flame Broiler,31,american,Salad,$,Jacksonville,32207,FL,4.0,Yes,Yes,No
183,Urban Vietnamese,19,asian/sushi,Vietnamese,$$,Jacksonville,32256,FL,4.0,Yes,Yes,No
184,98 Forty East Bar & Bistro,6,bars/cocktail,Bars,,Jacksonville,32246,FL,4.0,No,No,No
185,J J's Cafe,6,cafe/breakfast,Cafes,$,Jacksonville,32216,FL,5.0,Yes,No,No
186,Mady's,33,american,Salad,$,Jacksonville,32211,FL,4.5,Yes,No,No
187,Shakti Life Kitchen,2,american,Vegan,,Jacksonville,32207,FL,5.0,Yes,No,No
